"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"06-Jul-2023","EQ","3,100.00","3,111.85","3,081.40","3,099.85","3,106.15","3,106.40","3,095.08","3,113.90","1,928.00","9,76,956","3,02,37,59,891.00","62,712"
"05-Jul-2023","EQ","3,075.00","3,113.90","3,063.00","3,074.65","3,106.80","3,099.85","3,081.05","3,113.90","1,928.00","6,43,663","1,98,31,57,962.55","64,781"
"04-Jul-2023","EQ","3,041.50","3,090.00","3,039.00","3,038.30","3,079.00","3,074.65","3,073.60","3,090.00","1,928.00","12,91,238","3,96,87,49,707.75","77,735"
"03-Jul-2023","EQ","3,050.10","3,054.00","3,026.30","3,047.65","3,042.00","3,038.30","3,039.44","3,067.95","1,928.00","4,29,100","1,30,42,22,707.45","55,335"
"30-Jun-2023","EQ","3,046.00","3,067.95","3,029.15","3,028.10","3,055.00","3,047.65","3,048.44","3,067.95","1,825.05","9,46,112","2,88,41,65,786.50","75,115"
"28-Jun-2023","EQ","2,995.00","3,044.40","2,985.05","2,975.70","3,031.00","3,028.10","3,024.33","3,044.40","1,825.05","15,25,117","4,61,24,58,687.50","1,13,779"
"27-Jun-2023","EQ","2,973.00","2,989.20","2,940.70","2,972.60","2,988.90","2,975.70","2,953.65","3,024.40","1,825.05","9,13,730","2,69,88,43,008.05","56,159"
"26-Jun-2023","EQ","2,940.00","2,981.00","2,940.00","2,939.15","2,981.00","2,972.60","2,966.21","3,024.40","1,825.05","8,39,713","2,49,07,61,336.50","48,672"
"23-Jun-2023","EQ","2,972.50","2,981.00","2,932.00","2,970.25","2,933.05","2,939.15","2,940.24","3,024.40","1,825.05","8,69,340","2,55,60,71,199.05","68,896"
"22-Jun-2023","EQ","2,975.00","2,984.75","2,955.80","2,971.10","2,975.00","2,970.25","2,973.26","3,024.40","1,825.05","4,96,441","1,47,60,47,495.95","49,196"
"21-Jun-2023","EQ","2,974.00","2,985.00","2,958.15","2,974.00","2,966.25","2,971.10","2,971.13","3,024.40","1,825.05","5,09,602","1,51,40,92,006.00","46,756"
"20-Jun-2023","EQ","2,972.70","2,986.35","2,948.30","2,968.60","2,978.00","2,974.00","2,966.73","3,024.40","1,825.05","6,72,298","1,99,45,24,730.20","48,830"
"19-Jun-2023","EQ","2,967.00","3,024.40","2,963.35","2,954.30","2,971.00","2,968.60","2,991.42","3,024.40","1,825.05","13,82,633","4,13,60,32,047.60","73,859"
"16-Jun-2023","EQ","2,911.80","2,960.00","2,911.80","2,908.00","2,959.00","2,954.30","2,941.55","2,960.00","1,825.05","10,22,389","3,00,74,05,052.40","66,580"
"15-Jun-2023","EQ","2,911.05","2,924.65","2,900.00","2,907.05","2,906.15","2,908.00","2,911.59","2,928.20","1,825.05","5,64,711","1,64,42,05,347.45","53,202"
"14-Jun-2023","EQ","2,920.00","2,928.20","2,897.00","2,912.50","2,908.00","2,907.05","2,906.64","2,928.20","1,825.05","6,17,700","1,79,54,29,832.70","52,853"
"13-Jun-2023","EQ","2,859.90","2,918.00","2,855.10","2,852.60","2,908.50","2,912.50","2,905.13","2,921.85","1,825.05","7,76,313","2,25,52,91,379.65","62,355"
"12-Jun-2023","EQ","2,884.95","2,885.45","2,833.25","2,876.25","2,857.40","2,852.60","2,848.82","2,921.85","1,825.05","11,12,274","3,16,86,73,942.25","72,723"
"09-Jun-2023","EQ","2,890.00","2,919.95","2,863.25","2,877.00","2,878.80","2,876.25","2,889.14","2,921.85","1,825.05","7,27,880","2,10,29,50,744.05","51,540"
"08-Jun-2023","EQ","2,906.90","2,921.85","2,871.05","2,906.95","2,874.50","2,877.00","2,897.10","2,921.85","1,825.05","5,60,514","1,62,38,65,253.65","53,768"
"07-Jun-2023","EQ","2,895.00","2,910.00","2,870.00","2,881.45","2,905.00","2,906.95","2,894.23","2,910.00","1,825.05","8,62,821","2,49,72,00,078.50","55,818"
"06-Jun-2023","EQ","2,860.95","2,893.00","2,858.30","2,855.70","2,883.00","2,881.45","2,878.11","2,893.00","1,825.05","11,48,132","3,30,44,49,530.40","57,854"
"05-Jun-2023","EQ","2,875.00","2,875.00","2,840.00","2,861.65","2,853.80","2,855.70","2,854.64","2,875.00","1,825.05","7,24,102","2,06,70,50,145.90","51,244"
