"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"28-Jul-2023","EQ","5,177.00","5,364.00","5,177.00","5,215.50","5,345.65","5,346.95","5,286.69","5,364.00","3,987.85","4,53,505","2,39,75,38,151.65","51,826"
"27-Jul-2023","EQ","5,146.75","5,265.00","5,144.20","5,155.75","5,225.00","5,215.50","5,209.35","5,324.00","3,987.85","3,63,050","1,89,12,53,996.50","27,513"
"26-Jul-2023","EQ","5,196.00","5,255.00","5,143.05","5,212.20","5,147.00","5,155.75","5,178.28","5,324.00","3,987.85","2,97,720","1,54,16,78,502.00","37,882"
"25-Jul-2023","EQ","5,153.80","5,220.00","5,153.80","5,180.80","5,210.00","5,212.20","5,194.66","5,324.00","3,987.85","5,47,945","2,84,63,90,348.20","36,319"
"24-Jul-2023","EQ","5,144.00","5,225.70","5,144.00","5,204.90","5,165.00","5,180.80","5,197.40","5,324.00","3,987.85","2,49,814","1,29,83,83,167.65","17,698"
"21-Jul-2023","EQ","5,130.05","5,253.00","5,125.05","5,195.45","5,196.45","5,204.90","5,214.00","5,324.00","3,890.15","3,13,184","1,63,29,41,963.75","29,583"
"20-Jul-2023","EQ","5,170.00","5,210.00","5,132.65","5,175.60","5,197.00","5,195.45","5,179.84","5,324.00","3,890.15","2,76,787","1,43,37,11,438.55","32,699"
"19-Jul-2023","EQ","5,162.60","5,223.95","5,162.60","5,162.60","5,180.30","5,175.60","5,188.45","5,324.00","3,890.15","2,65,631","1,37,82,12,111.15","31,447"
"18-Jul-2023","EQ","5,206.50","5,324.00","5,106.45","5,219.30","5,166.00","5,162.60","5,194.20","5,324.00","3,890.15","5,11,024","2,65,43,61,066.95","47,648"
"17-Jul-2023","EQ","5,152.20","5,318.95","5,152.20","5,171.80","5,225.00","5,219.30","5,245.01","5,318.95","3,890.15","4,69,609","2,46,31,03,863.45","42,930"
"14-Jul-2023","EQ","5,180.00","5,198.45","5,096.25","5,182.00","5,184.75","5,171.80","5,137.38","5,310.00","3,861.20","5,08,041","2,61,00,00,935.85","38,905"
"13-Jul-2023","EQ","5,289.90","5,289.90","5,168.00","5,252.05","5,189.95","5,182.00","5,218.20","5,310.00","3,861.20","3,38,327","1,76,54,59,054.85","40,996"
"12-Jul-2023","EQ","5,261.65","5,288.45","5,205.85","5,257.00","5,247.95","5,252.05","5,245.85","5,310.00","3,861.20","2,63,391","1,38,17,09,491.05","36,024"
"11-Jul-2023","EQ","5,200.00","5,272.40","5,165.10","5,158.35","5,251.80","5,257.00","5,250.07","5,310.00","3,861.20","5,03,174","2,64,16,97,029.95","54,922"
"10-Jul-2023","EQ","5,179.85","5,203.50","5,110.75","5,146.25","5,160.00","5,158.35","5,168.38","5,310.00","3,861.20","2,71,366","1,40,25,23,105.60","39,267"
"07-Jul-2023","EQ","5,274.95","5,274.95","5,130.00","5,283.05","5,151.50","5,146.25","5,194.78","5,310.00","3,700.05","5,59,765","2,90,78,57,069.60","57,831"
"06-Jul-2023","EQ","5,090.00","5,310.00","5,070.20","5,077.65","5,277.00","5,283.05","5,247.08","5,310.00","3,700.05","12,51,554","6,56,70,04,936.80","90,603"
"05-Jul-2023","EQ","5,125.00","5,148.50","5,050.40","5,109.95","5,075.10","5,077.65","5,090.90","5,294.00","3,700.05","2,79,982","1,42,53,60,295.25","27,114"
"04-Jul-2023","EQ","5,119.90","5,124.70","5,052.05","5,068.50","5,114.00","5,109.95","5,088.03","5,294.00","3,700.05","2,33,404","1,18,75,66,527.45","26,642"
"03-Jul-2023","EQ","5,127.50","5,142.50","5,060.00","5,098.20","5,079.00","5,068.50","5,090.02","5,294.00","3,700.05","1,50,815","76,76,51,357.40","17,291"
"30-Jun-2023","EQ","5,128.00","5,148.95","5,064.05","5,126.90","5,099.70","5,098.20","5,092.08","5,294.00","3,635.20","4,11,015","2,09,29,22,142.55","39,186"
"28-Jun-2023","EQ","5,145.00","5,175.95","5,116.15","5,142.80","5,132.10","5,126.90","5,138.91","5,294.00","3,635.20","3,62,944","1,86,51,36,779.75","46,036"
"27-Jun-2023","EQ","5,040.00","5,150.00","5,036.95","5,036.95","5,145.00","5,142.80","5,114.04","5,294.00","3,635.20","5,56,456","2,84,57,38,035.40","46,528"
